constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",UDF,Adv. Kareem Cheleri,IUML
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",NDA,K. K. Vinod Kumar,BJP
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",Others,Reshmi Ravi,SUCI
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",Others,Sumesh Kumar. K,Independent
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",Others,Sumesh. T. P,Independent
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",Others,Abdul Kareem. V. V,Independent
10,Azhikode,Kannur,185,"1,88,250","98,280","89,967",Others,Kareem Chandroth,Independent
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",LDF,Kadannappalli Ramachandran,Congress (Secular)
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",UDF,Adv. T. O. Mohanan,INC
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",NDA,C. Raghunath,BJP
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",Others,Suresh Kumar,BJKP
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",Others,M.K. Shahazad,SUCI
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",Others,T.K. Mohanan,Independent
11,Kannur,Kannur,179,"1,82,682","94,865","87,817",Others,Ramachandran Kuniyil,Independent
12,Dharmadom,Kannur,198,"2,06,000","1,07,950","98,049",LDF,Pinarayi Vijayan,CPI(M)
12,Dharmadom,Kannur,198,"2,06,000","1,07,950","98,049",UDF,Adv. V.P Abdul Rasheed,INC
12,Dharmadom,Kannur,198,"2,06,000","1,07,950","98,049",NDA,K. Ranjith,BJP
12,Dharmadom,Kannur,198,"2,06,000","1,07,950","98,049",Others,Vadi Hareendran,Independent
12,Dharmadom,Kannur,198,"2,06,000","1,07,950","98,049",Others,Vijayan A.M S/o Kunhiraman,Independent
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",LDF,Karayi Rajan,CPI(M)
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",UDF,K. P. Saju,INC
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",NDA,O. Nidheesh,BJP
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",Others,A.C. Jalaluddin,SDPI
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",Others,Rajan O P,Independent
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",Others,V. P. Rajan,Independent
13,Thalassery,Kannur,189,"1,85,841","96,707","89,133",Others,Saju V P,Independent
