constituency_no,constituency,district,polling_booths,total_voters,female_voters,male_voters,alliance,candidate_name,party
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",NDA,Adv. K.P. Baburaj,BJP
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",Others,Abdul Najeeb S/o Mohamed,Independent
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",Others,Abdul Najeeb S/o Veerappu,Independent
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",Others,Haneefa,Independent
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",Others,Mohammed Haneefa P S/o Alavi,Independent
38,Perinthalmanna,Malappuram,244,"2,29,525","1,16,093","1,13,431",Others,Najeeb,Independent
39,Mankada,Malappuram,232,"2,30,838","1,15,592","1,15,245",LDF,Kunnath Mohamed S/o Ali Haji,Independent (CPI(M) support)
39,Mankada,Malappuram,232,"2,30,838","1,15,592","1,15,245",UDF,Manjalamkuzhi Ali,IUML
39,Mankada,Malappuram,232,"2,30,838","1,15,592","1,15,245",NDA,Lijoy Paul,BJP
39,Mankada,Malappuram,232,"2,30,838","1,15,592","1,15,245",Others,Kunnath Muhammed,Independent
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",LDF,K. T. Mujeeb,NCP(SP)
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",UDF,Sitting MLA from different seat,P. K. Kunhalikutty
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",NDA,Ashwathy Gupatha Kumar,BJP
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",Others,Aboobacker K.P. (Kundupuzhakkal),AAP
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",Others,Adv. Sadiq Naduthodi,SDPI
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",Others,Sreedharan,Independent
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",Others,Abdul Gafoor Master O.P.K,Independent
40,Malappuram,Malappuram,239,"2,38,080","1,18,096","1,19,984",Others,Abdulsalam.K.P,Independent
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",LDF,Muhammad Sabah Kundupuzhakkal,Independent (CPI(M) support)
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",UDF,K. M. Shaji,IUML
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",NDA,Jayakrishnan V.N.,BJP
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",Others,U.P. Shaji,Independent
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",Others,Abdul Rafeeq Chemban,Independent
41,Vengara,Malappuram,192,"2,11,630","1,03,261","1,08,365",Others,K.M.Shaji Shymalayam,Independent
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",LDF,Adv. C. P. Musthafa,Independent (INL support)
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",UDF,Sitting MLA from different seat,T. V. Ibrahim
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",NDA,M. Preman Master,BJP
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",Others,Abdul Azeez Kadalundi,AAP
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",Others,Muhamed Musthafa Pamangadan,Independent
42,Vallikkunnu,Malappuram,225,"2,21,036","1,09,697","1,11,338",Others,Muhammed Aslam V P,Independent
43,Tirurangadi,Malappuram,204,"2,22,792","1,09,776","1,13,015",LDF,Ajit Koladi,CPI
43,Tirurangadi,Malappuram,204,"2,22,792","1,09,776","1,13,015",UDF,P. M. A. Sameer,IUML
43,Tirurangadi,Malappuram,204,"2,22,792","1,09,776","1,13,015",NDA,Riju C. Raghav,BJP
43,Tirurangadi,Malappuram,204,"2,22,792","1,09,776","1,13,015",Others,Moosa Jarathingal,AAP
43,Tirurangadi,Malappuram,204,"2,22,792","1,09,776","1,13,015",Others,Hameed V,SDPI
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",LDF,Mohamed Sameer T Thiruthiyil House,Independent (CPI(M) support)
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",UDF,P. K. Navas,IUML
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",NDA,Deepa Puzhakkal,BJP
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",Others,Muhammed Sameer,Independent
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",Others,P P Navas S/o Kunhimuhamed,Independent
44,Tanur,Malappuram,211,"2,14,101","1,06,020","1,08,077",Others,Sameer T,Independent
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",LDF,Sitting MLA from different seat,V. Abdurahiman
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",UDF,Kurukkoli Moideen,IUML
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",NDA,K. Narayanan Master,BJP
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,Kabeer Shameer Kuttoor,AAP
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,Siyad Koodiyath,SP (I)
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,Dr.S.Aleena,SUCI
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,V. Abdurahman,Independent
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,Abdurahiman S/o Kunjeen,Independent
45,Tirur,Malappuram,243,"2,55,441","1,27,229","1,28,200",Others,Moideen Koomulli Parambil,Independent
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",LDF,K. Preethi,CPI(M)
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",UDF,Prof. K. K. Abid Hussain Thangal,IUML
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",NDA,Subrahmanian Chunkapally,BDJS
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",Others,Adv. Majeed Marakkara,SDPI
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",Others,Mohamed Rafi,Independent
46,Kottakkal,Malappuram,241,"2,43,014","1,20,161","1,22,850",Others,Preethi Kp,Independent
47,Thavanur,Malappuram,218,"2,08,776","1,04,915","1,03,861",LDF,Dr. K. T. Jaleel,Independent (CPI(M) support)
47,Thavanur,Malappuram,218,"2,08,776","1,04,915","1,03,861",UDF,Adv. V S Joy,INC
47,Thavanur,Malappuram,218,"2,08,776","1,04,915","1,03,861",NDA,Ravi Thelath,BDJS
47,Thavanur,Malappuram,218,"2,08,776","1,04,915","1,03,861",Others,Abdul Jaleel,SDPI
47,Thavanur,Malappuram,218,"2,08,776","1,04,915","1,03,861",Others,Abdul Jaleel K T S/o Moideen K T,Independent
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",LDF,Adv. M. K. Sakeer,CPI(M)
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",UDF,K. P. Noushad Ali,INC
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",NDA,E. Maneesh,BDJS
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",Others,Anvar Pazhanji,SDPI
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",Others,Noushadali,Independent
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",Others,Sageer M.K,Independent
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",Others,Sakkeer S/o Illyas,Independent
48,Ponnani,Malappuram,219,"2,16,529","1,09,146","1,07,380",Others,Sakkeer S/o Muhammed,Independent
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",LDF,M. B. Rajesh,CPI(M)
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",UDF,V. T. Balram,INC
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",NDA,V. Unnikrishnan Master,BJP
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,Adv Keerthi Jayanandhan,BSP
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,Shaheer Chalippuram,SDPI
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,T T Balaraman,Independent
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,Abbas,Independent
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,Balaraman,Independent
49,Thrithala,Palakkad,218,"2,03,700","1,03,529","1,00,169",Others,Rajesh S/o Ramankutty,Independent
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",LDF,Muhammad Muhsin,CPI
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",UDF,T. P. Shaji,INC
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",NDA,Adv. P. Manoj,BJP
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",Others,S.P. Ameer Ali,SDPI
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",Others,Haris Babu Pailippuram,Independent
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",Others,Muhammed Muhsin. M. K Manjerikunnath,Independent
50,Pattambi,Palakkad,222,"2,10,790","1,06,326","1,04,464",Others,shajimon,Independent
51,Shornur,Palakkad,224,"1,99,620","1,02,232","97,386",LDF,P. Mammikkutty,CPI(M)
51,Shornur,Palakkad,224,"1,99,620","1,02,232","97,386",UDF,P. Harigovindan,INC
51,Shornur,Palakkad,224,"1,99,620","1,02,232","97,386",NDA,Adv. Sanku T. Das,BJP
51,Shornur,Palakkad,224,"1,99,620","1,02,232","97,386",Others,Aboobacker,SDPI
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",LDF,Adv. K. Premkumar,CPI(M)
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",UDF,P. K. Sasi,Independent (INC Support)
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",NDA,Major Ravi,BJP
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",Others,K.P Rajeesh,BSP
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",Others,Muhammed Asharaf V.H,Independent
52,Ottapalam,Palakkad,238,"2,09,627","1,07,871","1,01,754",Others,Sasi P.K S/o Krishnankutty,Independent
53,Kongad,Palakkad,193,"1,82,603","92,790","89,813",LDF,K. Shanthakumari,CPI(M)
53,Kongad,Palakkad,193,"1,82,603","92,790","89,813",UDF,K. A. Thulasi,INC
53,Kongad,Palakkad,193,"1,82,603","92,790","89,813",NDA,Renu Suresh,BJP
53,Kongad,Palakkad,193,"1,82,603","92,790","89,813",Others,Guruvayoorappan P E,BSP
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",LDF,Manzil Aboobacker,CPI
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",UDF,Adv. N. Samsudheen,IUML
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",NDA,Isaac Varghese,BDJS
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",Others,Ashitha Najeeb,SDPI
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",Others,Aboobacker S/o Ayisha,Independent
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",Others,Shamsudheen S/o Muhammed,Independent
54,Mannarkkad,Palakkad,220,"2,06,436","1,05,060","1,01,375",Others,Shamsudheen S/o Ummer,Independent
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",LDF,A. Prabhakaran,CPI(M)
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",UDF,A. Suresh,INC
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",NDA,C. Krishnakumar,BJP
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",Others,Saji P J,AAP
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",Others,Ramnath C,BSP
55,Malampuzha,Palakkad,246,"1,95,429","1,00,156","95,268",Others,K Prasad,SUCI
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",LDF,N. M. R. Razaq,Independent (CPI(M) support)
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",UDF,Ramesh Pisharody,INC
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",NDA,Sobha Surendran,BJP
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",Others,Udayan Sukumaran,AAP
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",Others,Krishnankutty K,BSP
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",Others,Reghu M,Independent
56,Palakkad,Palakkad,219,"1,76,224","90,572","85,649",Others,Shamsudheen B,Independent
57,Tarur,Palakkad,177,"1,64,930","83,803","81,127",LDF,P. P. Sumod,CPI(M)
57,Tarur,Palakkad,177,"1,64,930","83,803","81,127",UDF,K. C. Subramanian,INC
57,Tarur,Palakkad,177,"1,64,930","83,803","81,127",NDA,Suresh Babu,BJP
57,Tarur,Palakkad,177,"1,64,930","83,803","81,127",Others,Narayanankutty K T,BSP
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",LDF,Adv V. Murugadas,Indian Socialist Janata Dal
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",UDF,Adv. Sumesh Achuthan,INC
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",NDA,Pranesh Rajendran,BJP
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",Others,Sumesh C,Independent
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",Others,Murugadas. P. S/o Pazhaniappa Mudaliyaar,Independent
58,Chittur,Palakkad,202,"1,72,015","88,104","83,908",Others,N S K Puram Sasikumar,Independent
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",LDF,K. Preman,CPI(M)
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",UDF,A. Thankappan,INC
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",NDA,A. N. Anurag,BDJS
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",Others,Anvar Sadiq,SDPI
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",Others,Radhakrishnan K,Independent
59,Nenmara,Palakkad,207,"1,81,690","91,635","90,054",Others,Ramakrishna Sankaranarayanan,Independent
60,Alathur,Palakkad,174,"1,65,657","84,007","81,649",LDF,T. M. Sasi,CPI(M)
60,Alathur,Palakkad,174,"1,65,657","84,007","81,649",UDF,K. M. Febin,INC
60,Alathur,Palakkad,174,"1,65,657","84,007","81,649",NDA,K.V. Prasanna Kumar,BJP
60,Alathur,Palakkad,174,"1,65,657","84,007","81,649",Others,M T Chandran,BSP
60,Alathur,Palakkad,174,"1,65,657","84,007","81,649",Others,B Febin S/o Balan K.C.,Independent
61,Chelakkara,Thrissur,218,"2,03,956","1,05,188","98,768",LDF,U. R. Pradeep,CPI(M)
61,Chelakkara,Thrissur,218,"2,03,956","1,05,188","98,768",UDF,Sivan Veettikkunnu,Independent (IUML Support)
61,Chelakkara,Thrissur,218,"2,03,956","1,05,188","98,768",NDA,K. Balakrishnan,BJP
61,Chelakkara,Thrissur,218,"2,03,956","1,05,188","98,768",Others,K V Subramaniyan,AAP
61,Chelakkara,Thrissur,218,"2,03,956","1,05,188","98,768",Others,P. R. Vinod Kumar,SDPI
62,Kunnamkulam,Thrissur,206,"1,96,839","1,01,199","95,639",LDF,A. C. Moytheen,CPI(M)
62,Kunnamkulam,Thrissur,206,"1,96,839","1,01,199","95,639",UDF,P. T. Ajayamohan,INC
62,Kunnamkulam,Thrissur,206,"1,96,839","1,01,199","95,639",NDA,Rijil K. R.,BDJS
62,Kunnamkulam,Thrissur,206,"1,96,839","1,01,199","95,639",Others,Rajeev K Sivaraman,AAP
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",LDF,N. K. Akbar,CPI(M)
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",UDF,C. H. Rasheed,IUML
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",NDA,B. Gopalakrishnan,BJP
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",Others,Pauly Francis Guruvayur,AAP
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",Others,K.V. Abdul Nasar Paroor,SDPI
63,Guruvayur,Thrissur,232,"2,18,704","1,12,128","1,06,573",Others,C. R. Unnikrishnan,SUCI
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",LDF,C. Ravindranath,CPI(M)
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",UDF,T. N. Prathapan,INC
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",NDA,K. K. Aneesh Kumar,BJP
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Unnikrishnan C. S.,AAP
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Sivaprasad Gandhi K M,IGP
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Dileef Abdul Khader,SDPI
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Sujith,Independent
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Chandran P V,Independent
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Prathapan Divakaran,Independent
64,Manalur,Thrissur,235,"2,22,278","1,13,553","1,08,724",Others,Raveendranath K,Independent
65,Wadakkanchery,Thrissur,231,"2,01,786","1,04,361","97,422",LDF,Xeviyar Chittilappally,CPI(M)
65,Wadakkanchery,Thrissur,231,"2,01,786","1,04,361","97,422",UDF,P N Vaisakh,INC
65,Wadakkanchery,Thrissur,231,"2,01,786","1,04,361","97,422",NDA,Adv. T.S. Ullas Babu,BJP
65,Wadakkanchery,Thrissur,231,"2,01,786","1,04,361","97,422",Others,Jithin Sadanananthan,AAP
65,Wadakkanchery,Thrissur,231,"2,01,786","1,04,361","97,422",Others,Subramanian Penakam,BSP
66,Ollur,Thrissur,215,"1,88,395","96,997","91,397",LDF,K. Rajan,CPI
66,Ollur,Thrissur,215,"1,88,395","96,997","91,397",UDF,Adv. Shaji J Kodankandath,INC
66,Ollur,Thrissur,215,"1,88,395","96,997","91,397",NDA,Bijoy Thomas,BJP
66,Ollur,Thrissur,215,"1,88,395","96,997","91,397",Others,V P Prinson Avinissery,AAP
66,Ollur,Thrissur,215,"1,88,395","96,997","91,397",Others,Edwin Babu Alapat,Independent
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",LDF,Alankode Leelakrishnan,CPI
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",UDF,Rajan Pallan,INC
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",NDA,Padmaja Venugopal,BJP
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",Others,Rani Anto,AAP
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",Others,Rosilin Chacko,BSP
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",Others,Arshed Aziz,CPIML Liberation
67,Thrissur,Thrissur,209,"1,61,225","84,589","76,635",Others,Rajan. M,Independent
68,Nattika,Thrissur,225,"2,03,427","1,05,580","97,846",LDF,Geetha Gopi,CPI
68,Nattika,Thrissur,225,"2,03,427","1,05,580","97,846",UDF,Adv. Sunil Lalur,INC
68,Nattika,Thrissur,225,"2,03,427","1,05,580","97,846",NDA,Sitting MLA from different party,C. C. Mukundan
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",LDF,K. K. Valsaraj,CPI
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",UDF,T. M. Nazar,INC
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",NDA,Athulya Ghosh,BDJS
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",Others,Jayan Eratt,AAP
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",Others,Manoj M.M.,CPIML Red Star
69,Kaipamangalam,Thrissur,191,"1,82,716","94,646","88,067",Others,A.M. Muhammed Riyas,SDPI
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",LDF,Dr. R. Bindu,CPI(M)
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",UDF,Adv. Thomas Unniyadan,KEC
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",NDA,Santhosh Cherkalam,BJP
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",Others,Dr. Shaju K Y (Kavungal),AAP
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",Others,Thankamany Tharayil,BSP
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",Others,Ayyappan Manakkal,Independent
70,Irinjalakuda,Thrissur,223,"1,94,592","1,00,647","93,943",Others,Dr. Anish,Independent
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",LDF,K. K. Ramachandran,CPI(M)
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",UDF,K. M. Babu Raj,INC
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",NDA,A. Nagesh,BJP
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",Others,Jayakrishnan P N,AAP
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",Others,P C Pushpakaran,BSP
71,Puthukkad,Thrissur,225,"1,92,377","97,992","94,385",Others,Anifa V K,Independent
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",LDF,Adv Biju Chirayath,Kerala Congress (M)
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",UDF,T. J. Saneesh Kumar Joseph,INC
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",NDA,Adv. Charlypaul,TTP
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",Others,Wilson Kallen,AAP
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",Others,M S Asokan Mangalappilly,BSP
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",Others,A D Biju,Independent
72,Chalakudy,Thrissur,219,"1,79,208","91,645","87,562",Others,Arun Edathadan,Independent
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",LDF,Adv. V R Sunil Kumar,CPI
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",UDF,Adv. O J Janeesh,INC
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",NDA,Dr. Varghese George,TTP
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",Others,Dr. K.M Francis Roy,AAP
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",Others,Ravi A K,BSP
73,Kodungallur,Thrissur,208,"1,87,212","96,055","91,157",Others,Nandagopan Vellathadi,Independent
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",LDF,Basil Paul,Kerala Congress (M)
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",UDF,Manoj Moothedan,INC
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",NDA,Jibi Pathikkal,TTP
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",Others,Adv. Prasanth,BSP
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",Others,Eldho George,Independent
74,Perumbavoor,Ernakulam,202,"1,80,299","91,768","88,529",Others,Mohanan M A,Independent
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",LDF,Saju Paul,CPI(M)
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",UDF,Roji M. John,INC
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",NDA,Promy Kuriakose,TTP
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",Others,P V Rajeesh,SUCI
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",Others,Subran,Independent
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",Others,Suphil Sebastian,Independent
75,Angamaly,Ernakulam,217,"1,70,404","86,393","84,010",Others,Joby Paul Uppan,Independent
76,Aluva,Ernakulam,248,"1,94,360","99,855","94,500",LDF,Adv. A. M. Ariff,CPI(M)
76,Aluva,Ernakulam,248,"1,94,360","99,855","94,500",UDF,Anwar Sadath,INC
76,Aluva,Ernakulam,248,"1,94,360","99,855","94,500",NDA,M.A. Brahmaraj,BJP
76,Aluva,Ernakulam,248,"1,94,360","99,855","94,500",Others,Hakhikhath Hameed,AAP
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",LDF,P. Rajeev,CPI(M)
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",UDF,Adv. V. E. Abdul Gafoor,IUML
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",NDA,M. P. Binu,BDJS
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",Others,Shamsu T.K,AAP
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",Others,Siyad V A,BSP
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",Others,Ajmal K Mujeeb,SDPI
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",Others,A Rajeena,SUCI
77,Kalamassery,Ernakulam,218,"1,97,712","1,01,976","95,734",Others,Rajeev S/o Vareed,Independent
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",LDF,Sitting MLA from different seat,E. T. Taison Master
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",UDF,Adv. V. D. Satheesan,INC
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",NDA,Vathsala Prasanna Kumar,BJP
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",Others,P.K.Rajesh,BSP
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",Others,V.M. Faisal,SDPI
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",Others,G.Gokuldev,Independent
78,Paravur,Ernakulam,222,"1,91,646","98,216","93,430",Others,K.B.Satheesan,Independent
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",LDF,Adv. M. B. Shyni,CPI(M)
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",UDF,Tony Chammany,INC
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",NDA,Anitha Thomas,TTP
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",Others,Mohandas PG,AAP
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",Others,T. C. Subrahmanyan,CPIML Red Star
79,Vypin,Ernakulam,216,"1,61,285","82,726","78,558",Others,Sadasivan,Independent
80,Kochi,Ernakulam,241,"1,65,675","85,104","80,571",LDF,K. J. Maxi,CPI(M)
80,Kochi,Ernakulam,241,"1,65,675","85,104","80,571",UDF,Mohammed Shiyas,INC
80,Kochi,Ernakulam,241,"1,65,675","85,104","80,571",NDA,Adv. Xavier Joolappan,TTP
80,Kochi,Ernakulam,241,"1,65,675","85,104","80,571",Others,Aneesh Mattancherry,SDPI
80,Kochi,Ernakulam,241,"1,65,675","85,104","80,571",Others,Ajeesh P.E,Independent
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",LDF,Sitting MLA from different seat,K. N. Unnikrishnan
81,Thrippunithura,Ernakulam,294,"1,87,923","97,210","90,711",UDF,Deepak Joy,INC
